remark,"CSV-Import-Export"
remark,"Date = Sat Nov  5 22:57:04 2022"
remark,"Version = RSLogix 5000 v32.04"
remark,"Owner = AGUser"
remark,"Company = Automation Group"
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,Point_IO:1:C,"","AB:1734_IE4:C:0","","(ExternalAccess := Read/Write)"
TAG,,Point_IO:1:I,"","AB:1734_IE4:I:0","","(ExternalAccess := Read/Write)"
TAG,,Point_IO:2:C,"","AB:1734_OE2:C:0","","(ExternalAccess := Read/Write)"
TAG,,Point_IO:2:I,"","AB:1734_OE2:I:0","","(ExternalAccess := Read/Write)"
TAG,,Point_IO:2:O,"","AB:1734_OE2:O:0","","(ExternalAccess := Read/Write)"
TAG,,Point_IO:3:C,"","AB:1734_DI8:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,Point_IO:3:I,"","","Point_IO:I.Data[3]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,Point_IO:4:C,"","AB:1734_DO8_NoDiag:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,Point_IO:4:I,"","","Point_IO:I.Data[4]","(RADIX := Binary, ExternalAccess := Read/Write)"
ALIAS,,Point_IO:4:O,"","","Point_IO:O.Data[4]","(RADIX := Binary, ExternalAccess := Read/Write)"
TAG,,Point_IO:I,"","AB:1734_5SLOT:I:0","","(ExternalAccess := Read/Write)"
TAG,,Point_IO:O,"","AB:1734_5SLOT:O:0","","(ExternalAccess := Read/Write)"
TAG,,Dummy_List,"","P_DescList[1]","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,FCV_001,"Cooling Valve","AOI_CM_CVLV","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,F_001,"AHU Fan VFD","AG_CM_VFD","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,PT_001,"Differential Pressure Transducer","AOI_CM_AIn","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,S01_IE4_ModuleStatus,"","ModuleStatus_3_0","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,S02_OE2C_ModuleStatus,"","ModuleStatus_3_0","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,S03_IB8_ModuleStatus,"","ModuleStatus_3_0","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,S04_OB8_ModuleStatus,"","ModuleStatus_3_0","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,SupplyDuct,"","Zone","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,TC_001,"","PID_ENHANCED","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,TT_001,"Supply Duct Temperature Transducer","AOI_CM_AIn","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,VFD_001,"","PID_ENHANCED","","(Constant := false, ExternalAccess := Read/Write)"
TYPE,SCOPE,ROUTINE,COMMENT,OWNING_ELEMENT,LOCATION
RCOMMENT,"MUA_Control","R04_Supply_Air_Temperature","Set Modulating Valve Position to 0% if Fan is Not Running to Prevent Freeze$N","OTE(FCV_001.Inp_InterlockOK)","0"
TYPE,SCOPE,ROUTINE,COMMENT,OWNING_ELEMENT,LOCATION
RCOMMENT,"AG_CM_DIn:AOI","Logic","Update Target PV status$NIf Target PV configured to use, determine status of NOK and OK Target status bits$NIf Target PV NOT configured to use, status of both is FALSE","OTE(sts_TgtPVOK)","6"
RCOMMENT,"AG_CM_DIn:AOI","Logic","If Fault Reset Required, wait for Inp_FaultReset$N","OTU(Inp_FaultReset)","9"
RCOMMENT,"AG_CM_DIn:AOI","Logic","State (Mainly for HMI Visualization)$N0 = OK and Off$N1 = OK and On$N2 = NOK and Off$N3 = NOK and On$N5 = Faulted","MOV(wrk_State,Val_State)","10"
TYPE,SCOPE,ROUTINE,COMMENT,OWNING_ELEMENT,LOCATION
RCOMMENT,"AG_CM_VFD:AOI","Logic","---$NRevision Comments$N---$N3.0 - Changed reference for Ramp AOI$N3.1 - Added input (Alias) for VFD Amps (Inp_AmpFB)$N3.2 - Modified VFD Ready Fault logic to include buffer timer if VFD was stopped$N3.2 - Re-structured Stop Command Delay/Hold logic$N3.2 Added cfg_HasSealH2O xic for timer$N3.3 Removed ONS for neq wrk_lastfaultcode, neq and wrk perform necessary logic","NOP()","0"
RCOMMENT,"AG_CM_VFD:AOI","Logic","Hand Run Control$NFor locall or remotely mounted selector switch/button and potentiometer$NTreated as 2-wire OR 3-wire control (Maintained Inputs OR Momentary Inputs)$N","OTL(HandRun)","7"
RCOMMENT,"AG_CM_VFD:AOI","Logic","Auto/Manual Logic$N","OTL(ManRun)","8"
RCOMMENT,"AG_CM_VFD:AOI","Logic","Manual Start/Stop Logic$N","OTU(Inp_ManStop)","9"
RCOMMENT,"AG_CM_VFD:AOI","Logic","Reset Manual Run Command if VFD Faults$N","OTU(ManRun)","10"
RCOMMENT,"AG_CM_VFD:AOI","Logic","Program/Operator Indication of ownership$N","OTE(sts_Oper)","11"
RCOMMENT,"AG_CM_VFD:AOI","Logic","COMMAND SUMMARY$NThis rung controls the RunCmd output command.$N The output command is immediately dropped if an ESTOP for that equipment is present.$NWhen in Hand, Observe Hand Inputs","OTE(Out_RunCmd)","12"
RCOMMENT,"AG_CM_VFD:AOI","Logic","Hand Fault Control, Reset Hand Run Command$N","OTU(HandRun)","13"
